Name,Symbol,YTD,_3MO,_1YR,_3YR,_5YR,_10YR,Yield,rating,Expenseratio,Mgrtenure,Netassets,Category
RSI Retirement Trust Intl Equity,RSTEX,14.79,16.86,14.79,8.69,7.79,6.74,0,***,1.96,14,"3,40,80,739",International Stocks
Safeco International Stock No Load,SFISX,14.26,19.24,14.26,,,,0,,1.63,2,"2,21,10,783",International Stocks
Saratoga International Equity,SIEPX,13.22,13.86,13.22,8.85,,,0.8,***,1.4,,"2,23,49,762",International Stocks
Schroder International Adv,,,13.4,,,,,,,,1,"3,000",International Stocks
Schroder International Inv,SCIEX,13.52,13.03,13.52,8.85,7.49,8.57,0.99,***,0.99,1,"12,72,98,376",International Stocks
Schwab MarketManager International,SWOIX,13.29,13.4,13.29,,,,1.17,,0.5,2,"8,60,00,000",International Stocks
Scudder International,SCINX,18.62,14.82,18.62,13.63,9.82,10.62,0,****,1.18,5,"2,87,87,73,337",International Stocks
Scudder International Barrett Intl,,,14.82,,,,,,,,0,"2,22,02,788",International Stocks
Scudder International Growth & Income,SIGIX,9.45,12.22,9.45,,,,0.79,,1.75,1,"5,24,06,915",International Stocks
Scudder Pathway International,SPIPX,4.83,12.37,4.83,,,,0.79,,,2,"90,27,776",International Stocks
SEI International Equity A,SEITX,19.29,19.35,19.29,8.48,7.28,,1.67,***,1.21,1,"1,19,01,15,416",International Stocks
Sextant International,SSIFX,5.6,23.83,5.6,12.66,,,0,****,1.51,3,"8,85,391",International Stocks
Sit International Growth,SNGRX,18.95,19.97,18.95,11.21,7.85,,0.29,***,1.5,7,"9,61,08,925",International Stocks
SSgA Active International,SSAIX,13.54,17.12,13.54,1.99,,,3.89,***,1,3,"9,77,67,795",International Stocks
SSgA International Growth Opport,SINGX,,20.31,,,,,,,1.1,0,"2,90,27,963",International Stocks
Standish International Equity,SDIEX,24.53,16.22,24.53,9.28,4.39,6.37,1.25,***,0.5,2,"4,16,77,920",International Stocks
State Street Research Intl Equity S,SSNCX,23.57,16.21,23.57,5.06,4.67,,2.1,***,1.65,0,"1,36,10,753",International Stocks
Stein Roe International,SRITX,11.48,17.8,11.48,5.23,,,0.9,***,1.55,3,"12,97,66,096",International Stocks
STI Classic International Equity Tr,STITX,11.22,16.88,11.22,15.45,,,0.4,****,1.47,0,"56,42,66,012",International Stocks
STI Classic Intl Equity Index Tr,SIEIX,30.02,21.26,30.02,14.54,,,1.73,****,1.06,4,"5,52,58,745",International Stocks
Strong Foreign MajorMarkets,,,17.83,,,,,,,,,"15,23,276",International Stocks
Strong International Stock,STISX,-7.04,9.63,-7.04,-4.8,-1.74,,2.06,**,1.6,0,"9,53,73,829",International Stocks
Strong Overseas,,,24.97,,,,,,,,0,"34,21,560",International Stocks
T. Rowe Price Foreign Equity,PRFEX,16.12,18.21,16.12,11.52,8.91,,1.6,***,0.75,10,"3,60,09,88,891",International Stocks
T. Rowe Price International Stock,PRITX,16.14,18.34,16.14,11.43,8.87,10.45,1.43,****,0.85,18,"9,94,95,99,017",International Stocks
Target International Equity,TAIEX,15.49,18.03,15.49,13.76,11.22,,0.61,****,0.93,5,"23,81,04,308",International Stocks
Templeton Foreign Adv,TFFAX,-4.77,12.12,-4.77,,,,3.05,,0.87,1,"5,67,83,920",International Stocks
Templeton Foreign Sm Companies Adv,,-6.32,6.87,-6.32,,,,2.27,,1.24,,"1,47,71,751",International Stocks
Templeton Instl Foreign Equity,TFEQX,10.16,14.16,10.16,14.28,11.07,,2.14,****,0.84,2,"4,52,86,89,159",International Stocks
TIAA-CREF International Equity,TIINX,19.27,21.86,19.27,,,,0.93,,,1,"11,16,92,000",International Stocks
Touchstone International Equity C,TOQCX,18.99,12.59,18.99,14.76,,,0,****,2.35,3,"52,31,703",International Stocks
UAM Jacobs International Octagon,JIOPX,-5.01,8.77,-5.01,,,,0.82,,1.49,1,"10,01,48,673",International Stocks
UAM McKee International Equity Instl,MKIEX,8.94,15.29,8.94,10.25,,,0.86,***,0.98,4,"14,18,08,542",International Stocks
UAM MJI International Equity Inst,MJIEX,15.53,18.52,15.53,9.7,,,0.54,***,1.5,1,"2,08,81,428",International Stocks
UAM TS&W International Equity,TSWIX,8.26,12.58,8.26,7.07,5.48,,0.1,***,1.3,6,"11,62,21,505",International Stocks
UBS Non-U.S. Equity,UBNEX,13.44,16.86,13.44,10.12,,,0.24,***,1.81,3,"41,95,488",International Stocks
UMB Scout WorldWide,UMBWX,17.96,15.68,17.96,18.2,14.53,,1.69,*****,0.87,5,"10,01,61,261",International Stocks
United International Growth Y,,21.92,13.04,21.92,19.33,,,0.94,*****,0.97,2,"80,72,114",International Stocks
USAA International,USIFX,3.95,16.82,3.95,10.53,8.47,9.73,0.96,***,1.05,10,"53,10,10,714",International Stocks
Vanguard International Growth,VWIGX,16.93,17.79,16.93,11.76,10.07,9.74,1.16,****,0.59,17,"7,49,17,35,817",International Stocks
Vanguard International Value,VTRIX,19.46,20.62,19.46,7.91,7.71,7.7,4.08,***,0.49,2,"80,92,48,098",International Stocks
Vanguard Total Intl Stock Index,VGTSX,15.6,20.49,15.6,,,,1.88,,0,2,"2,24,76,09,770",International Stocks
Vontobel International Equity,VNEPX,16.77,18.6,16.77,14.25,9.38,9.45,0,***,1.5,4,"15,97,35,852",International Stocks
Waddell & Reed International Growth Y,,32.94,17.79,32.94,23.44,,,0,*****,1.59,2,"5,15,638",International Stocks
Warburg Pincus Advisor Intl Equity,WIETX,4.2,12.82,4.2,2.95,3.64,,0,***,1.76,7,"31,26,40,639",International Stocks
Warburg Pincus Instl Intl Equity,WPIEX,6.15,12.59,6.15,4.78,4.98,,0.9,***,0.95,6,"1,04,48,57,016",International Stocks
Warburg Pincus International Grth,WIGCX,20.21,13.59,20.21,,,,1.1,,1.43,6,"16,20,130",International Stocks
Warburg Pincus Intl Equity Comm,CUIEX,4.59,12.88,4.59,3.4,4.08,,0,***,1.33,9,"1,17,20,71,964",International Stocks
Warburg Pincus Major Forgn Mkts Comm,WPMFX,15.94,13.21,15.94,,,,1,,,1,"4,46,68,774",International Stocks
WEBS Index Canada,,-5.75,14.39,-5.75,,,,0.44,,,2,"1,17,13,809",International Stocks
William Blair International Growth,WBIGX,11.46,16.51,11.46,10.01,7.37,,0.17,***,1.43,2,"13,96,93,476",International Stocks
WPG International,WPGIX,16.28,19.22,16.28,7.33,5.14,,0,***,1.71,0,"63,74,904",International Stocks
Wright Intl Blue Chip Equities Stnd,WIBCX,6.14,16.85,6.14,9.17,7.77,,0.41,***,1.31,9,"19,33,70,136",International Stocks
ABN AMRO Small Cap Growth Comm,RSMCX,-6.52,16.05,-6.52,8.96,9.89,,0,*,1.04,0,"4,57,54,786",Small Growth
ABN AMRO Small Cap Growth Inv,,-7.25,15.77,-7.25,8.47,9.46,,0,*,1.29,0,"5,03,931",Small Growth
AIM Small Cap Growth Adv,,23.38,30.45,23.38,18.01,,,0,**,1.57,0,"10,72,919",Small Growth
Alliance Quasar Adv,QUAYX,-4.3,17.44,-4.3,,,,0,,1.37,0,"24,80,11,295",Small Growth
Alliance Quasar Instl I,AIQIX,,15.96,,,,,,,0,,,Small Growth
American Cent-20th Cent Giftrust,TWGTX,-13.09,22.73,-13.09,-3.15,7.35,17.7,0,*,1,2,"92,03,29,891",Small Growth
American Cent-20th Cent New Opp,TWNOX,13.33,28.23,13.33,,,,0,,1.49,2,"26,23,09,561",Small Growth
American Heritage,AHERX,-61.22,-24,-61.22,-13.64,-21.98,-4.29,0,*,5.85,8,"62,27,618",Small Growth
Ark Small Cap Equity Instl,ARPEX,19.31,26.08,19.31,13.08,,,0,*,0.95,3,"2,74,18,441",Small Growth
Armada Small Cap Growth Instl,ASMIX,7.56,22.73,7.56,,,,0,,,1,"7,87,20,643",Small Growth
Atlas Emerging Growth A,ATEAX,5.77,14.11,5.77,,,,0,,1.49,1,"1,54,97,539",Small Growth
Baron Asset,BARAX,4.27,26.58,4.27,19.41,19.86,16.86,0.08,***,1.32,11,"5,21,20,00,000",Small Growth
Baron Growth & Income,BGINX,0.1,22.56,0.1,18.78,,,0.14,**,1.37,4,"34,36,95,555",Small Growth
Baron Small Cap,BSCFX,2.23,22.42,2.23,,,,0,,1.39,1,"40,37,27,998",Small Growth
BB&T Small Company Growth Tr,BBCGX,3.29,22.26,3.29,12.46,,,0,*,1.79,4,"8,86,04,656",Small Growth
Berger New Generation,BENGX,23,32.04,23,,,,0,,1.72,2,"13,01,41,665",Small Growth
Berger Small Company Growth,BESCX,3.17,26.61,3.17,11.86,16.32,,0,**,1.48,0,"61,69,94,145",Small Growth
Bjurman Micro-Cap Growth,,11.89,25.41,11.89,,,,0,,1.8,1,"89,45,691",Small Growth
BlackRock Small Cap Grth Instl,PSGIX,7.38,25.53,7.38,15.55,19.24,,0,**,0.87,5,"1,25,13,61,766",Small Growth
BlackRock Small Cap Grth Svc,PCGEX,6.76,25.39,6.76,15.13,18.77,,0,**,1.17,5,"17,44,14,347",Small Growth
BNY Hamilton Small Cap Growth Inst,BNSIX,7.89,20.52,7.89,,,,0,,,1,"12,10,40,302",Small Growth
Brazos/JMIC Micro Cap Growth,BJMIX,32.8,20.51,32.8,,,,0,,,1,"5,81,57,472",Small Growth
Brazos/JMIC Small Cap Growth Secs,BJSCX,13.58,20.88,13.58,,,,0,,1.35,2,"38,25,59,635",Small Growth
Brinson U.S. Small Cap Growth I,BISCX,-6.73,18.94,-6.73,,,,0,,,1,"2,25,71,694",Small Growth
Brown Capital Mgmt Small Co Instl,BCSIX,18.39,20.03,18.39,17.08,17.63,,0,***,1.5,6,"1,43,47,081",Small Growth
BT Investment Small Cap,BTSCX,6.15,28.7,6.15,8.69,19.43,,0,**,1.25,2,"18,45,97,241",Small Growth
Calvert New Vision Small Cap C,CNVCX,-10.31,12.13,-10.31,,,,0,,,1,"74,19,225",Small Growth
Cappiello-Rushmore Emerging Growth,CREGX,-8.59,22.96,-8.59,-0.79,4.32,,0,*,1.5,6,"1,50,06,000",Small Growth
Chase Small Capitalization Instl,ATSCX,-1.83,16.64,-1.83,16.82,14.45,,0,**,1,5,"6,47,55,727",Small Growth
Chase Vista Small Cap Equity Instl,VSEIX,3.71,19.51,3.71,,,,0,,1.1,2,"29,71,89,257",Small Growth
CitiFunds Small Cap Growth,CFSGX,4.75,26.52,4.75,18.68,,,0,**,1.35,0,"3,19,90,399",Small Growth
Columbia Small Cap,CMSCX,4.69,17.54,4.69,,,,0,,1.46,2,"13,61,26,835",Small Growth
Consulting Group Small Cap Growth,TSGUX,2.85,25.02,2.85,10.55,15.5,,0,**,0.9,1,"1,04,75,50,000",Small Growth
Delaware Trend Instl,DGTIX,13.84,23.08,13.84,14.79,14.29,,0,**,1.09,2,"5,44,74,210",Small Growth
Diversified Investors Special Equity,DVPEX,3.09,20.84,3.09,17.73,,,0,**,1.49,4,"84,69,62,770",Small Growth
Dresdner RCM Small Cap,,1.11,26.1,1.11,17.54,16.33,,0,**,1.02,7,"55,78,10,198",Small Growth
Dreyfus Aggressive Growth,DGVAX,-36.67,19.86,-36.67,-13.69,,,0,*,1.27,0,"3,60,67,956",Small Growth
Enterprise Small Company Growth Y,ENGEX,-3.76,27.19,-3.76,10.56,15.8,,0,**,1.84,0,"87,22,514",Small Growth
Evergreen Select Sm Cap Grth Instl,EVSIX,2.13,25.19,2.13,9.82,,,0,*,0.92,1,"4,59,10,731",Small Growth
Excelsior Small Cap A,UMLCX,-12.38,21.57,-12.38,-0.75,4.79,,0,*,0.94,1,"4,66,77,562",Small Growth
Fasciano,FASCX,7.19,7.47,7.19,18.12,17.51,15.6,0.09,***,1.3,11,"23,31,51,281",Small Growth
First American Regional Equity Y,FREIX,-5.52,20.11,-5.52,9.81,,,0.04,**,0.9,4,"24,51,50,304",Small Growth
First American Strategy Aggress Grth,FAAGX,6.82,14.77,6.82,,,,1.83,,0.6,2,"6,85,90,619",Small Growth
Firstar Emerging Growth Inst,FIEMX,8.49,21.11,8.49,,,,0.14,,0.9,1,"6,04,92,719",Small Growth
Firstar MicroCap Instl,FIMPX,-2.45,23.07,-2.45,20.45,,,0,**,1.7,1,"9,75,33,656",Small Growth
Flag Investors Emerging Growth Instl,FLIEX,6.72,33.41,6.72,15.27,,,0,*,1.19,3,"76,00,000",Small Growth
Founders Discovery,FDISX,14.19,36.55,14.19,15.71,13.42,,0,*,1.52,1,"23,93,46,811",Small Growth
Fountainhead Special Value,,-3.55,7.77,-3.55,,,,0,,0.97,,"68,00,877",Small Growth
Franklin Small Cap Growth Adv,FSGAX,0.35,23.42,0.35,,,,0.86,,0.64,6,"36,29,026",Small Growth
Fremont Institutional U.S. Micro-Cap,FIMCX,5.53,46.03,5.53,,,,0,,1.25,1,"4,91,32,004",Small Growth
Fremont U.S. Micro-Cap,FUSMX,2.86,44.06,2.86,17.84,,,0,**,1.88,4,"16,48,39,242",Small Growth
Fremont U.S. Small Cap,,17.63,40.65,17.63,,,,0,,1.5,1,"95,91,221",Small Growth
FTI Small Capitalization Equity,FTSCX,3.03,24.04,3.03,14.07,,,0,**,1.5,3,"5,24,02,688",Small Growth
Gabelli ABC,GABCX,11.14,11.91,11.14,10.58,9.44,,1.98,***,2.26,5,"3,93,58,138",Small Growth
Galaxy Small Cap Value Tr,SMCEX,-5.22,9.75,-5.22,16.65,16.03,,0.55,***,0.96,6,"21,73,51,474",Small Growth
Galaxy Small Company Equity Tr,GSETX,-10.66,17.29,-10.66,7.59,,,0,*,1.09,4,"21,73,51,474",Small Growth
Govett Smaller Companies A,GSCQX,-11.73,28.33,-11.73,-11.64,8.46,,0,*,1.95,0,"5,89,07,828",Small Growth
Hartford Capital Appreciation Y,HCAYX,3.68,25.67,3.68,,,,0,,1,2,"2,36,55,776",Small Growth
Hartford Small Company Y,HSCYX,11.05,28.04,11.05,,,,0,,1,1,"1,01,43,120",Small Growth
Henlopen,HENLX,16.76,26.78,16.76,20.22,18.46,,0,***,1.5,6,"3,85,04,890",Small Growth
IAI Capital Appreciation,IACAX,2.21,22.55,2.21,,,,0,,1.4,2,"5,25,88,047",Small Growth
Invesco Small Company Growth,FIEGX,14.9,26.27,14.9,14.91,13.69,,0,**,1.48,3,"31,67,93,084",Small Growth
IPO Plus Aftermarket,IPOSX,18.44,32.74,18.44,,,,0,,,1,"97,70,981",Small Growth
Ivy U.S. Emerging Growth Adv,,,,31.27,,,,,,,0,"6,08,087",Small Growth
Janus Venture,JAVTX,23.22,24.98,23.22,14.44,14.86,16.95,0.01,***,0.92,1,"1,24,62,07,331",Small Growth
John Hancock Small Cap Growth,,16.54,36.4,16.54,14.95,,,0,**,0.9,3,"26,81,000",Small Growth
JP Morgan U.S. Small Company Opport,JPSOX,5.21,23.09,5.21,,,,0,,1.19,1,"16,81,35,617",Small Growth
"Kalmar ""Growth-With-Value"" Small Cap",KGSCX,-7.66,14.27,-7.66,,,,0,,1.25,1,"22,23,11,000",Small Growth
Kaufmann,KAUFX,0.72,17.07,0.72,11.08,15.38,20.87,0,***,1.88,12,"4,45,60,76,619",Small Growth
Kemper Small Capitalization Equity I,,-2.62,22.68,-2.62,10.49,,,0,*,0.53,1,"1,47,47,460",Small Growth
Kobrick Emerging Growth,KFEGX,39.5,37.57,39.5,,,,0,,,0,"2,36,36,162",Small Growth
Loomis Sayles Small Cap Growth Instl,LSSIX,18.73,36.72,18.73,,,,0,,1,1,"3,30,59,194",Small Growth
Loomis Sayles Small Cap Growth Ret,,18.5,36.77,18.5,,,,0,,1.25,1,"36,44,009",Small Growth
Managers Special Equity,MGSEX,0.2,19.78,0.2,15.87,15.35,16.75,0,***,1.35,,"95,65,13,934",Small Growth
Marshall Small-Cap Growth,MRSCX,3.41,30.28,3.41,,,,0,,1.8,2,"11,15,55,871",Small Growth
Matrix Emerging Growth,MEGFX,-2.72,15.45,-2.72,7.8,,,0,*,2,3,"68,24,229",Small Growth
MFS New Discovery I,,20.18,23.91,20.18,,,,0,,1.18,1,"35,71,805",Small Growth
Monetta,MONTX,-9.03,17.68,-9.03,5.26,6.97,11.5,0,*,1.45,12,"12,08,01,900",Small Growth
Monetta Small-Cap Equity,MSCEX,-2.81,16.86,-2.81,,,,0,,,1,"38,22,247",Small Growth
Montgomery Small Cap Opportunities P,MSCPX,-10.28,17.59,-10.28,,,,0,,1.75,2,"3,26,574",Small Growth
Montgomery Small Cap Opportunities R,MNSOX,-9.54,17.97,-9.54,13.08,,,0,*,1.5,3,"9,09,10,275",Small Growth
Montgomery Small Cap P,MNSPX,-8.19,28.95,-8.19,,,,0,,1.49,2,"1,92,40,229",Small Growth
Montgomery Small Cap R,MNSCX,-7.93,28.98,-7.93,10.62,10.49,,0,*,1.24,8,"14,53,47,215",Small Growth
Montgomery U.S. Emerging Growth R,MNMCX,7.94,21.12,7.94,17.77,,,0,**,1.56,4,"41,04,38,585",Small Growth
Morgan Grenfell Smaller Companies Svc,,0.73,19.99,0.73,,,,0.24,,1.5,,"10,06,759",Small Growth
MSDW Capital Appreciation D,CAADX,-0.5,13.52,-0.5,,,,0,,,,"2,08,378",Small Growth
MSDW Developing Growth Secs D,DGRDX,8.93,24.81,8.93,,,,0,,,1,"59,05,060",Small Growth
Munder Small Company Growth K,MULKX,-7.5,19.4,-7.5,16.63,14.87,,0,**,1.2,2,"13,98,49,219",Small Growth
Munder Small Company Growth Y,MULYX,-7.22,19.51,-7.22,16.91,15.16,,0.12,**,0.95,2,"18,86,76,985",Small Growth
N/I Numeric Investors Growth,NISGX,2.22,27.14,2.22,,,,0,,1,2,"7,82,23,304",Small Growth
N/I Numeric Investors Micro Cap,NIMCX,16.27,28.66,16.27,,,,0,,1,2,"9,94,36,823",Small Growth
Navellier Aggressive Growth,NPFGX,11.51,27.98,11.51,14.5,,,0,*,2,3,"8,05,77,165",Small Growth
Navellier Aggressive Micro Cap,NPMCX,0.1,16.15,0.1,,,,0,,1.55,1,"96,82,566",Small Growth
Navellier Aggressive Small Cap Eq A,NASCX,-0.06,22.43,-0.06,8.67,,,0,*,2.33,1,"4,69,10,196",Small Growth
New England Star Small Cap C,NEJCX,1.41,25.81,1.41,,,,0,,2.95,,"1,53,88,600",Small Growth
Nicholas Limited Edition,NCLEX,1.67,19.56,1.67,18.1,15.77,15.9,0.06,***,0.86,5,"36,71,91,042",Small Growth
Nicholas-Applegate Mini-Cap Gr I,NAMCX,8.43,29.43,8.43,22.03,,,0,**,1.56,3,"9,39,08,270",Small Growth
Nicholas-Applegate Sm Cap Growth I,NAGQX,4.37,26.99,4.37,11.63,12.77,,0,*,1.17,5,"19,10,31,500",Small Growth
Nicholas-Applegate Sm Cap Growth Q,NAEQX,4.26,27.03,4.26,11.56,,,0,*,1.51,3,"87,16,581",Small Growth
Norwest Advantage Small Co Stock I,NSCTX,-17.07,14.98,-17.07,4.56,7,,0,*,0.52,5,"4,26,86,149",Small Growth
Oberweis Emerging Growth,OBEGX,-3.1,29.62,-3.1,2.76,8.34,15.83,0,*,1.44,11,"9,36,36,042",Small Growth
Oberweis Micro-Cap,OBMCX,4.42,39.25,4.42,12.37,,,0,*,1.81,3,"2,83,07,995",Small Growth
One Group Small Capitalization Fid,OGGFX,-4.04,15.97,-4.04,,,,0,,1.06,2,"11,00,91,833",Small Growth
Oppenheimer Discovery Y,ODIYX,-1.73,17.49,-1.73,7.79,,,0,*,0.89,4,"4,70,90,807",Small Growth
O'Shaughnessy Cornerstone Growth,OSCGX,3.67,23.82,3.67,,,,0,,1.56,2,"11,65,02,186",Small Growth
Pacific Horizon Aggressive Growth K,PHAKX,0.02,16.56,0.02,,,,0,,1.93,0,"42,48,026",Small Growth
PaineWebber Pace Small/Med Co Grth Eq,PCSGX,15.04,24.57,15.04,14.56,,,0,**,,3,"33,49,10,196",Small Growth
Parkstone Small Cap Instl,PKSCX,-5.31,23.08,-5.31,4.38,10.19,16.07,0,*,1.35,0,"33,27,54,839",Small Growth
PBHG Emerging Growth,PBEGX,3,21.48,3,5.12,16.38,,0,**,1.27,5,"1,04,38,03,193",Small Growth
PBHG Limited,PBLDX,13.05,24.38,13.05,,,,0,,1.4,0,"14,15,05,764",Small Growth
PBHG Strategic Small Company PBHG,PSSCX,2.13,28.3,2.13,,,,0,,1.45,1,"6,93,72,090",Small Growth
Provident Inv Couns Small Cap Growth,PISCX,5.82,25.04,5.82,7.48,13.95,,0,*,1,5,"15,90,34,934",Small Growth
Provident Inv Couns Small Co Growth,PISMX,5.43,24.97,5.43,,,,0,,1.45,1,"3,21,71,192",Small Growth
Quantitative Small Cap Instl,QBNAX,0.85,19.01,0.85,10.44,13.88,,0,**,1.41,2,"51,11,166",Small Growth
Republic Small Cap Equity,RESCX,13.43,23.22,13.43,,,,0.19,,0.91,2,"14,03,00,907",Small Growth
Robertson Stephens Diversified Grth A,RSDGX,16.42,29.93,16.42,,,,0,,1.94,2,"6,91,06,849",Small Growth
Robertson Stephens Emerging Growth A,RSEGX,28.02,38.37,28.02,22.64,19.09,20.18,0,***,1.5,2,"39,43,49,613",Small Growth
Robertson Stephens MicroCap Growth A,RSMGX,-0.63,22.61,-0.63,,,,0,,1.95,2,"9,32,22,614",Small Growth
RSI Retirement Trust Emerg Grth Eqty,RSIGX,-7.08,23.86,-7.08,8.53,13.58,15.23,0,*,1.98,9,"5,54,06,135",Small Growth
Saratoga Small Capitalization,SSCPX,-18.61,15.29,-18.61,5.08,,,0,*,1.28,4,"3,18,46,734",Small Growth
Scudder 21st Century Growth,SCTGX,3.55,21.34,3.55,,,,0,,,2,"3,52,06,632",Small Growth
Scudder Development,SCDVX,8.01,24.81,8.01,8.32,12.63,15.32,0,*,1.41,0,"71,30,31,807",Small Growth
SEI Instl Mgd Small Cap Growth A,SSCGX,5.59,28.29,5.59,10.89,14.19,,0,*,1.1,6,"72,38,65,403",Small Growth
Shelby,SHELX,12.77,25.57,12.77,10.93,13.64,18.31,0,**,1.29,18,"3,81,54,998",Small Growth
Sit Small Cap Growth,SSMGX,1.97,15.56,1.97,8.06,,,0,*,1.5,4,"4,76,02,676",Small Growth
Stagecoach Small Cap Instl,STSIX,-5.39,18.87,-5.39,,,,0,,0.75,2,"6,89,05,108",Small Growth
Standish Small Cap Equity,SDSCX,1.71,25.77,1.71,11.19,11.45,,0,*,0.74,8,"17,09,52,237",Small Growth
Standish Small Cap Equity Asset,SSQAX,,25.65,,,,,,,,0,"80,89,528",Small Growth
State Street Research Emerging Grth S,,-3.27,25.68,-3.27,16.44,9.68,,0,*,2.1,1,"52,27,444",Small Growth
Stein Roe Special Venture,SRSVX,-21.55,6.66,-21.55,3.44,,,0,*,1.29,4,"9,69,54,832",Small Growth
T. Rowe Price Diversified Sm Cap Grth,PRDSX,3.58,25.24,3.58,,,,0,,1.25,1,"6,44,55,123",Small Growth
Target Small Capitalization Growth,TASGX,2.55,22.49,2.55,13.79,12.42,,0,**,0.79,5,"14,77,80,528",Small Growth
TCW Galileo Earnings Momentum,TGMOX,7.09,29.44,7.09,8.86,,,0,*,1.17,4,"3,69,03,645",Small Growth
TCW Galileo Small Cap Growth,TGSCX,19.8,31.44,19.8,16.89,,,0,*,1.14,4,"13,48,30,348",Small Growth
TCW/DW Small Capitalization Growth D,TSGDX,20.58,33.28,20.58,,,,0,,1.27,1,"13,090",Small Growth
Transamerica Premier Small Comp A,,,,51.55,,,,,,,0,"2,752",Small Growth
Transamerica Premier Small Comp Inv,TPSCX,80.27,51.55,80.27,,,,0,,1.4,1,"13,43,63,051",Small Growth
Transamerica Premier Small Comp M,,,,51.34,,,,,,,0,"2,883",Small Growth
Turner Micro Cap Growth,,,,40.49,,,,,,1.25,0,"47,34,377",Small Growth
Turner Small Cap Equity,TSCEX,8.53,24.34,8.53,17.15,,,0,**,1.24,0,"18,89,65,170",Small Growth
UAM Sirach Special Equity Instl,SSEPX,5.64,27.16,5.64,9.63,10.85,,0,*,0.89,9,"17,14,37,649",Small Growth
UAM Sirach Special Equity Instl Svc,SEPSX,5.12,27.31,5.12,,,,0,,1.14,2,"30,57,959",Small Growth
USAA Aggressive Growth,USAUX,22.22,37.99,22.22,15.26,17.97,14.83,0,*,0.71,3,"83,33,07,088",Small Growth
Value Line Small Cap Growth,VLSCX,4.61,29.21,4.61,8.79,9.68,,0,*,1.81,5,"1,87,45,002",Small Growth
Value Line Special Situations,VALSX,29.88,27.5,29.88,22.54,19.11,15.43,0,***,1.08,9,"16,44,57,026",Small Growth
Van Wagoner Micro-Cap,VWMCX,13.11,30.64,13.11,4.16,,,0,*,1.95,3,"4,61,13,497",Small Growth
Van Wagoner Post-Venture,VWPVX,37.59,37.59,37.59,,,,0,,1.95,2,"1,90,81,007",Small Growth
Vanguard Explorer,VEXPX,3.52,23.29,3.52,10.59,11.48,13.07,0.35,**,0.62,8,"2,30,71,41,343",Small Growth
Vanguard Small Cap Growth Index,VISGX,,22.27,,,,,,,,0,"7,84,47,493",Small Growth
Warburg Pincus Instl Small Co Growth,WISCX,-4,21.25,-4,14.19,,,0,**,0.99,3,"23,50,38,523",Small Growth
Warburg Pincus Small Co Growth Common,WSCGX,-1.4,22.47,-1.4,,,,0,,1.41,2,"53,44,768",Small Growth
Wasatch Aggressive Equity,WAAEX,11.17,31.55,11.17,11.72,13.51,17.88,0,***,1.5,12,"15,66,00,154",Small Growth
Wasatch Micro-Cap,WMICX,18.98,24.61,18.98,22.32,,,0,***,2.5,3,"15,44,26,740",Small Growth
Wasatch Mid-Cap,WAMCX,24.81,38.11,24.81,8.75,17.16,,0,**,1.75,6,"6,25,38,027",Small Growth
Wilshire Target Small Co Growth Instl,WSMGX,-3.44,19.77,-3.44,,,,0,,1.19,2,"54,90,280",Small Growth
Wilshire Target Small Co Growth Invmt,DTSGX,-3.56,19.7,-3.56,7.07,9.18,,0,*,1.28,6,"1,17,80,414",Small Growth
WPG Tudor,TUDRX,-22.03,10.81,-22.03,0.97,5.56,10.46,0,*,1.24,1,"8,77,99,743",Small Growth
AARP Growth & Income,AGIFX,6.14,11.3,6.14,19.14,18.1,16.37,2.18,****,0.67,12,"8,07,92,05,944",Large Value
ABN AMRO Value Comm,RVALX,5.45,15.56,5.45,18.34,16.95,,1.07,***,1.01,5,"4,80,62,91,711",Large Value
ABN AMRO Value Inv,,4.66,15.44,4.66,17.84,16.56,,0.66,***,1.26,5,"1,42,85,12,513",Large Value
Accessor Value & Income,AVAIX,12.89,18.96,12.89,22.98,19.42,,0.97,****,1.05,0,"2,01,87,70,406",Large Value
Aetna Value Opportunity I,,,30.49,,,,,,,1.1,0,"3,48,23,64,972",Large Value
AHA Diversified Equity,AHDEX,17.56,21.15,17.56,25.3,21.54,16.91,1.4,****,0.17,11,"4,28,47,39,411",Large Value
AIM Basic Value Adv,,6.25,13.86,6.25,16.17,,,0,***,1.64,0,"4,79,82,45,578",Large Value
Amana Mutual Funds Trust Income,AMANX,14.07,9.25,14.07,17.04,13.48,11.7,1.01,***,1.36,9,"2,90,50,50,979",Large Value
American AAdvantage Growth & Inc AMR,AAGAX,6.51,12.38,6.51,17.91,,,2.19,***,0.34,4,"10,67,54,409",Large Value
American AAdvantage Growth & Inc Inst,AADEX,6.17,12.28,6.17,17.59,16.7,15.38,1.86,***,0.61,11,"12,88,04,843",Large Value
American AAdvantage Growth & Inc Milg,AAGMX,5.88,12.24,5.88,17.4,,,1.6,***,1,4,"1,27,38,12,035",Large Value
American AAdvantage Growth & Inc Plan,AAGPX,5.88,12.27,5.88,17.25,,,1.68,***,0.93,4,"30,90,80,58,305",Large Value
American Century Equity Growth Adv,BEQAX,25.14,22.98,25.14,,,,0.67,,0.94,1,"19,99,86,030",Large Value
American Century Equity Growth Instl,AMEIX,25.59,23.17,25.59,,,,1.04,,,0,"15,89,28,577",Large Value
